Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2025-02-21,682.94,703.24,681.75,695.96,15660400
2025-02-24,667.54,686.66,661.86,685.67,15677000
2025-02-25,656.92,667.41,641.29,665.38,20579700
2025-02-26,673.1,682.4,657.42,659.06,14488700
2025-02-27,657.65,688.04,656.99,681.84,12500000
2025-02-28,667.61,669.03,642.03,657.46,17534200
2025-03-03,654.47,680.64,650.26,673.08,10843800
2025-03-04,639.43,649.17,623.1,644.94,21495200
2025-03-05,655.89,658.91,637.09,640.43,13770000
2025-03-06,627.37,649.98,623.56,647.42,13446500
2025-03-07,625.1,634.23,600.08,624.81,21375700
2025-03-10,597.46,609.57,586.35,607.53,21999900
2025-03-11,605.17,614.38,592.8,594.52,17401500
2025-03-12,619.01,632.77,608.81,629.34,15747000
2025-03-13,590.11,619.95,585.99,619.7,16480300
2025-03-14,607.6,608.86,594.78,602.8,12364500
2025-03-17,604.9,613.1,598.0,607.46,15473900
2025-03-18,582.36,600.25,574.66,600.05,20297700
2025-03-19,584.06,592.32,574.77,584.28,20537500
2025-03-20,586.0,610.2,579.51,582.76,24336500
2025-03-21,596.25,597.54,580.95,583.42,25015900
2025-03-24,618.85,622.54,612.2,614.97,15741300
2025-03-25,626.31,633.88,621.18,626.76,15312500
2025-03-26,610.98,626.75,606.61,624.89,12609800
2025-03-27,602.58,614.25,600.1,602.0,10436500
2025-03-28,576.74,601.75,573.92,600.31,17602800
2025-03-31,576.36,578.7,553.3,563.5,21124700
2025-04-01,586.0,589.91,570.0,570.84,12836600
2025-04-02,583.93,592.66,573.36,574.91,13470800
2025-04-03,531.62,552.56,530.3,546.22,34777500
2025-04-04,504.73,518.0,494.2,506.62,38589800
2025-04-07,516.25,539.37,481.9,485.1,36606100
2025-04-08,510.45,547.43,502.86,543.25,28034200
2025-04-09,585.77,587.89,502.11,509.27,39216600
2025-04-10,546.29,581.3,535.3,575.49,28173500
2025-04-11,543.57,547.4,528.59,535.51,17642300
2025-04-14,531.48,557.77,528.28,556.17,14130900
2025-04-15,521.52,537.94,517.5,532.11,15558700
2025-04-16,502.31,513.37,495.63,508.51,18735100
2025-04-17,501.48,507.3,498.01,505.25,14593500
2025-04-21,484.66,493.5,479.8,491.33,16166000
2025-04-22,500.28,506.88,486.36,491.87,17399400
2025-04-23,520.27,535.34,516.52,528.53,18173900
2025-04-24,533.15,533.9,517.5,518.73,13910000
2025-04-25,547.27,549.86,536.25,546.8,17098900
2025-04-28,549.74,558.49,540.59,555.64,15179000
2025-04-29,554.44,556.57,544.12,546.0,11835000
2025-04-30,549.0,549.1,529.5,538.4,29244000
2025-05-01,572.21,592.95,570.5,592.08,31159000
2025-05-02,597.02,604.34,578.33,583.46,24739300
2025-05-05,599.27,603.21,588.05,591.22,13887700
2025-05-06,587.31,596.03,586.58,592.53,10600700
2025-05-07,596.81,603.08,586.67,590.36,13139100
2025-05-08,598.01,611.3,596.62,606.29,14622800
2025-05-09,592.49,606.97,591.71,603.72,10427300
2025-05-12,639.43,640.39,621.03,630.92,21965100
2025-05-13,656.03,660.92,642.83,645.54,18570800
2025-05-14,659.36,662.67,654.31,661.21,12348200
2025-05-15,643.88,657.31,638.58,654.28,14341800
2025-05-16,640.34,640.44,626.15,637.96,18519000
2025-05-19,640.43,643.0,627.8,628.25,9592400
2025-05-20,637.1,639.35,632.26,636.01,6743500
2025-05-21,635.5,646.61,630.17,631.79,11464600
2025-05-22,636.57,643.25,630.71,634.05,8228400
2025-05-23,627.06,632.45,622.65,624.08,8371907
